X_channel Y_channel II_channel timestamp
0.01920113 3689.067 0.0 103.35
0.01919563 3690.733 0.0 103.533
0.0191725 3692.007 0.0 103.713
0.01916395 3693.2 0.0 103.892
0.01914528 3694.31 0.0 104.072
0.0191325 3695.423 0.0 104.252
0.01912226 3696.693 0.0 104.43
0.01910261 3697.887 0.0 104.61
0.01909339 3698.84 0.0 104.79
0.0190709 3699.0 0.0 104.97
0.01906438 3699.873 0.0 105.151
0.01904008 3700.67 0.0 105.333
0.01903379 3701.143 0.0 105.514
0.01901229 3700.91 0.0 105.697
0.0190021 3700.83 0.0 105.877
0.01898505 3701.54 0.0 106.06
0.0189697 3702.893 0.0 106.244
0.01895751 3704.563 0.0 106.428
0.01893844 3705.753 0.0 106.61
0.01892877 3706.39 0.0 106.792
0.01890729 3706.39 0.0 106.977
0.01890136 3707.743 0.0 107.156
0.01887755 3708.933 0.0 107.339
0.01887123 3710.047 0.0 107.521
0.01884757 3711.24 0.0 107.706
0.01883986 3712.273 0.0 107.886
0.01882034 3713.463 0.0 108.072
0.01880773 3714.497 0.0 108.254
0.01879277 3715.45 0.0 108.436
0.01877566 3716.803 0.0 108.624
0.01876495 3718.39 0.0 108.806
0.01874395 3719.423 0.0 108.987
0.01873692 3719.5 0.0 109.167
0.01871351 3719.42 0.0 109.35
0.01870691 3719.58 0.0 109.53
0.01868486 3719.66 0.0 109.709
0.01867531 3720.06 0.0 109.89
0.01865679 3720.14 0.0 110.071
0.01864265 3720.857 0.0 110.252
0.0186347 3722.127 0.0 110.436
0.01861038 3723.24 0.0 110.614
0.01860526 3723.87 0.0 110.795
0.01858148 3723.87 0.0 110.977
0.01857263 3723.87 0.0 111.158
0.01855753 3724.67 0.0 111.34
0.01854077 3725.86 0.0 111.521
0.01852603 3726.58 0.0 111.703
0.01851433 3727.37 0.0 111.888
0.01850499 3727.93 0.0 112.072
0.01849657 3728.323 0.0 112.253
0.01849036 3729.12 0.0 112.44
0.01848536 3729.28 0.0 112.62
0.01848029 3728.8 0.0 112.8
0.01847651 3728.56 0.0 112.986
0.01847386 3728.4 0.0 113.167
0.01847058 3728.4 0.0 113.35
0.01846884 3728.167 0.0 113.53
0.01846667 3727.45 0.0 113.712
0.0184451 3727.69 0.0 113.893
0.01837195 3728.643 0.0 114.076
0.01835096 3730.947 0.0 114.257
0.01833217 3732.853 0.0 114.436
0.01832419 3733.81 0.0 114.618
0.01830134 3734.367 0.0 114.799
0.01829394 3735.0 0.0 114.981
0.018269 3735.953 0.0 115.162
0.01826315 3736.67 0.0 115.345
0.0182394 3736.91 0.0 115.525
0.01823116 3736.83 0.0 115.706
0.01821334 3735.953 0.0 115.888
0.01819988 3735.56 0.0 116.068
0.01818609 3735.873 0.0 116.251
0.01816882 3737.227 0.0 116.431
0.01815728 3738.34 0.0 116.614
0.01813677 3738.897 0.0 116.797
0.01813049 3739.29 0.0 116.979
0.01810646 3739.21 0.0 117.16
0.01810147 3739.61 0.0 117.341
0.01807763 3740.247 0.0 117.523
0.01806864 3740.56 0.0 117.704
0.01805058 3740.8 0.0 117.883
0.01803711 3741.913 0.0 118.063
0.01802632 3742.63 0.0 118.245
0.01800563 3742.95 0.0 118.429
0.01799625 3743.35 0.0 118.613
0.01797402 3743.27 0.0 118.793
0.01796763 3742.71 0.0 118.975
0.01794362 3742.47 0.0 119.156
0.01793737 3742.55 0.0 119.336
0.01791382 3742.95 0.0 119.515
0.01790569 3743.43 0.0 119.697
0.01788593 3743.663 0.0 119.881
0.01787308 3744.3 0.0 120.058
0.01786004 3745.013 0.0 120.237
0.01784234 3745.09 0.0 120.417
0.01783272 3745.49 0.0 120.597
0.01781128 3746.763 0.0 120.78
0.01780573 3747.48 0.0 120.961
0.01778185 3747.48 0.0 121.143
0.01777511 3747.48 0.0 121.323
0.01775397 3747.957 0.0 121.503
0.01774342 3748.91 0.0 121.686
0.0177303 3749.467 0.0 121.866
0.01771193 3749.39 0.0 122.049
0.01769818 3749.39 0.0 122.233
0.0176796 3749.467 0.0 122.414
0.01766998 3749.62 0.0 122.597
0.01764822 3749.39 0.0 122.781
0.01764124 3749.39 0.0 122.967
0.01761694 3749.467 0.0 123.147
0.01761151 3749.62 0.0 123.33
0.01758729 3749.467 0.0 123.511
0.01757998 3749.07 0.0 123.693
0.01756217 3749.15 0.0 123.873
0.01754742 3749.23 0.0 124.056
0.01753267 3749.543 0.0 124.237
0.01751578 3750.02 0.0 124.419
0.01750565 3750.5 0.0 124.6
0.01748416 3750.66 0.0 124.782
0.01747788 3751.29 0.0 124.963
0.0174536 3751.53 0.0 125.147
0.01744739 3751.61 0.0 125.33
0.01742411 3752.01 0.0 125.511
0.01741595 3752.327 0.0 125.695
0.01739611 3752.327 0.0 125.877
0.01738389 3752.25 0.0 126.06
0.01736981 3752.403 0.0 126.244
0.0173522 3752.72 0.0 126.427
0.01734174 3753.2 0.0 126.608
0.01732069 3753.917 0.0 126.787
0.01731424 3754.47 0.0 126.969
0.01728986 3755.11 0.0 127.15
0.01728419 3755.82 0.0 127.333
0.01726121 3756.38 0.0 127.513
0.01725264 3756.78 0.0 127.695
0.01723419 3756.7 0.0 127.876
0.01722037 3755.82 0.0 128.058
0.01720992 3754.87 0.0 128.239
0.01718888 3754.63 0.0 128.425
0.01717919 3754.31 0.0 128.606
0.01715765 3753.92 0.0 128.788
0.01715086 3754.153 0.0 128.972
0.01712598 3754.87 0.0 129.151
0.01712096 3755.503 0.0 129.332
0.01709777 3755.347 0.0 129.516
0.01708884 3754.47 0.0 129.699
0.01706986 3753.6 0.0 129.883
0.01705659 3753.917 0.0 130.065
0.017044 3754.87 0.0 130.242
0.01702546 3755.98 0.0 130.422
0.0170158 3756.777 0.0 130.604
0.01699328 3756.933 0.0 130.785
0.01698768 3756.3 0.0 130.968
0.016963 3755.583 0.0 131.148
0.0169571 3755.427 0.0 131.33
0.01693464 3754.87 0.0 131.511
0.01692552 3754.39 0.0 131.693
0.01691065 3754.55 0.0 131.874
0.01689435 3754.39 0.0 132.054
0.016881 3754.71 0.0 132.236
0.01686209 3755.267 0.0 132.417
0.016853 3755.503 0.0 132.6
0.01683028 3755.11 0.0 132.78
0.01682534 3755.347 0.0 132.96
0.0168005 3755.82 0.0 133.142
0.016794 3756.933 0.0 133.321
0.01677272 3757.81 0.0 133.502
0.0167617 3757.81 0.0 133.682
0.01674437 3757.25 0.0 133.863
0.01672981 3756.933 0.0 134.045
0.01671953 3757.17 0.0 134.225
0.01669853 3757.73 0.0 134.404
0.01669189 3758.447 0.0 134.584
0.01666738 3759.0 0.0 134.767
0.0166617 3759.24 0.0 134.95
0.01663776 3759.4 0.0 135.131
0.01663012 3759.4 0.0 135.314
0.01661348 3758.603 0.0 135.494
0.0165989 3758.21 0.0 135.674
0.01658392 3758.21 0.0 135.853
0.01656647 3758.05 0.0 136.037
0.01655632 3757.73 0.0 136.216
0.01653436 3757.65 0.0 136.398
0.01652719 3758.287 0.0 136.578
0.01650345 3758.92 0.0 136.759
0.01649844 3758.683 0.0 136.942
0.01647349 3758.21 0.0 137.121
0.01646635 3758.21 0.0 137.302
0.01644652 3758.29 0.0 137.485
0.01643412 3758.527 0.0 137.667
0.01641921 3758.447 0.0 137.848
0.01640233 3758.21 0.0 138.032
0.01639414 3757.97 0.0 138.211
0.01637127 3757.81 0.0 138.392
0.01636369 3757.33 0.0 138.572
